b,r,c
"(:Blog {path: /blogs/posts/impact-of-globalisation-on-indigenous-indian-art-forms, title: Impact of Globalisation on Indigenous Indian Art Forms})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/gond-art, title: Gond Art and Paintings})"
"(:Blog {path: /blogs/posts/signature-patterns-in-gond-art, title: Signature Patterns in Gond Art})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/gond-art, title: Gond Art and Paintings})"
"(:Blog {path: /blogs/posts/the-different-forms-of-floor-paintings, title: The Different Forms of Floor Paintings in South Asia})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/gond-art, title: Gond Art and Paintings})"
"(:Blog {path: /blogs/posts/the-evolution-of-gond-painting-from-walls-to-paper, title: The Evolution of Gond Painting From Walls to Paper})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/gond-art, title: Gond Art and Paintings})"
"(:Blog {path: /blogs/posts/the-evolution-of-motifs-from-ancient-symbols-to-modern-interpretation-in-indian-art, title: The Evolution of Motifs: From Ancient Symbols to Modern Interpretation in Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pattachitra, title: Pattachitra Painting: The Timeless Folk Art of Odisha & Bengal})"
"(:Blog {path: /blogs/posts/weaves-of-india, title: Weaves of India})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/pattachitra, title: Pattachitra Painting: The Timeless Folk Art of Odisha & Bengal})"
"(:Blog {path: /blogs/posts/get-your-diy-on-5-indian-crafts-to-cure-boredom, title: Get Your DIY On: 5 Indian Crafts to Cure Boredom})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pattachitra, title: Pattachitra Painting: The Timeless Folk Art of Odisha & Bengal})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/pattachitra, title: Pattachitra Painting: The Timeless Folk Art of Odisha & Bengal})"
"(:Blog {path: /blogs/posts/unfurling-a-world-of-wonder-a-journey-into-bengal-pattachitra, title: Unfurling a world of wonder: A journey into Bengal Pattachitra})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pattachitra, title: Pattachitra Painting: The Timeless Folk Art of Odisha & Bengal})"
"(:Blog {path: /blogs/posts/a-traveller-s-guide-to-ayodhya, title: A traveller’s guide to Ayodhya})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pattachitra, title: Pattachitra Painting: The Timeless Folk Art of Odisha & Bengal})"
"(:Blog {path: /blogs/posts/art-of-mysore-ganjifa-traditional-card-game-of-india, title: Art of Mysore Ganjifa: Traditional Card Game of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pattachitra, title: Pattachitra Painting: The Timeless Folk Art of Odisha & Bengal})"
"(:Blog {path: /blogs/posts/the-mud-work-of-kutch-lippan, title: The Mud Work of Kutch: Lippan Kaam})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pattachitra, title: Pattachitra Painting: The Timeless Folk Art of Odisha & Bengal})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pattachitra, title: Pattachitra Painting: The Timeless Folk Art of Odisha & Bengal})"
"(:Blog {path: /blogs/posts/celebrating-shiv-parvati-a-journey-through-indian-art-traditions, title: Celebrating Shiv-Parvati: A Journey Through Indian Art Traditions})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pattachitra, title: Pattachitra Painting: The Timeless Folk Art of Odisha & Bengal})"
"(:Blog {path: /blogs/posts/puppet-traditions-of-india, title: Puppet Traditions of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/paintings, title: Handpainted Paintings by Masters: A Timeless Collection of Indian Artworks})"
"(:Blog {path: /blogs/posts/the-city-of-barmer-all-you-need-to-know, title: The City of Barmer: All You Need To Know})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/paintings, title: Handpainted Paintings by Masters: A Timeless Collection of Indian Artworks})"
"(:Blog {path: /blogs/posts/hampi-the-enigmatic-marvel-of-india, title: HAMPI:  THE ENIGMATIC MARVEL OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/paintings, title: Handpainted Paintings by Masters: A Timeless Collection of Indian Artworks})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/paintings, title: Handpainted Paintings by Masters: A Timeless Collection of Indian Artworks})"
"(:Blog {path: /blogs/posts/majuli-mask-painting, title: Majuli Mask Painting})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/paintings, title: Handpainted Paintings by Masters: A Timeless Collection of Indian Artworks})"
"(:Blog {path: /blogs/posts/impact-of-globalisation-on-indigenous-indian-art-forms, title: Impact of Globalisation on Indigenous Indian Art Forms})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/paintings, title: Handpainted Paintings by Masters: A Timeless Collection of Indian Artworks})"
"(:Blog {path: /blogs/posts/the-art-of-kantha, title: The Art of Kantha})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/paintings, title: Handpainted Paintings by Masters: A Timeless Collection of Indian Artworks})"
"(:Blog {path: /blogs/posts/tholu-bommalata-the-puppeteers-of-andhra-pradesh, title: Tholu Bommalata - The Puppeteers of Andhra Pradesh})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/paintings, title: Handpainted Paintings by Masters: A Timeless Collection of Indian Artworks})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/paintings, title: Handpainted Paintings by Masters: A Timeless Collection of Indian Artworks})"
"(:Blog {path: /blogs/posts/weaves-of-india, title: Weaves of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/manoranjan-chitrakar, title: Manoranjan Chitrakar})"
"(:Blog {path: /blogs/posts/tholu-bommalata-the-puppeteers-of-andhra-pradesh, title: Tholu Bommalata - The Puppeteers of Andhra Pradesh})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/manoranjan-chitrakar, title: Manoranjan Chitrakar})"
"(:Blog {path: /blogs/posts/the-process-of-kalamkari-explained, title: The Process of Kalamkari Explained})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/aipan-art-the-uttaranchal-legacy, title: Aipan Art: A Treasured Legacy of Uttarakhand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/famous-kalamkari-paintings-and-artists, title: Famous Kalamkari Paintings and Artists})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/machilipatnam-kalamkari-the-timeless-art-of-block-printing, title: Machilipatnam Kalamkari: The Timeless Art of Block Printing})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/development-of-indian-miniature-paintings-of-the-rajput-style, title: Development of Indian miniature paintings of the Rajput style})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/exploring-the-different-styles-of-kalamkari-art, title: Exploring the Different Styles of Kalamkari Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/themes-and-symbolism-in-kalamkari-art-a-cultural-and-historical-perspective, title: Themes and Symbolism in Kalamkari Art: A Cultural and Historical Perspective})",[:RELATED_COLLECTION {overlap: 7}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/kalamkari-timeless-artform-of-ancient-india, title: Kalamkari- Timeless artform of ancient India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/art-of-mysore-ganjifa-traditional-card-game-of-india, title: Art of Mysore Ganjifa: Traditional Card Game of India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/storytelling-in-tribal-and-folk-art-forms, title: Storytelling in Tribal and Folk Art Forms})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/paitkar-paintings-storytelling-through-scrolls, title: Paitkar Paintings, storytelling through scrolls})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/decoding-the-hidden-symbolism-in-chamba-rumal-embroidery, title: Decoding the Hidden Symbolism in Chamba Rumal Embroidery})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 6}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/kalamkari-craftsmanship-with-bamboo-pens, title: Kalamkari, craftsmanship with bamboo pens})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kalamkari, title: Kalamkari Handmade Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/pichwai-as-a-timeless-investment-the-art-collectors-guide, title: Pichwai as a Timeless Investment–The Art Collectors’ Guide})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/pichwai, title: Authentic Pichwai Paintings from Nathdwara, Rajasthan for Home Décor})"
"(:Blog {path: /blogs/posts/nathdwara-the-city-of-lord-krishna, title: Nathdwara: The City of Lord Krishna})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai, title: Authentic Pichwai Paintings from Nathdwara, Rajasthan for Home Décor})"
"(:Blog {path: /blogs/posts/the-evolution-of-thanjavur-paintings-a-cultural-synthesis-of-indian-art-and-heritage, title: The Evolution of Thanjavur Paintings: Unraveling the Influences that Shaped Them})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai, title: Authentic Pichwai Paintings from Nathdwara, Rajasthan for Home Décor})"
"(:Blog {path: /blogs/posts/the-art-of-home-decor-why-you-should-embrace-pichwai-art, title: The Art of Home Decor: Why you should embrace Pichwai Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai, title: Authentic Pichwai Paintings from Nathdwara, Rajasthan for Home Décor})"
"(:Blog {path: /blogs/posts/shreenathji-temple-architecture-first-impressions, title: Shreenathji Temple Architecture: First Impressions})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai, title: Authentic Pichwai Paintings from Nathdwara, Rajasthan for Home Décor})"
"(:Blog {path: /blogs/posts/exploring-pichwai-art-a-traditional-artistic-legacy-of-rajasthan, title: Exploring Pichwai Art : A Traditional Artistic Legacy of Rajasthan})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/pichwai, title: Authentic Pichwai Paintings from Nathdwara, Rajasthan for Home Décor})"
"(:Blog {path: /blogs/art-guides/how-to-pick-your-first-traditional-indian-artwork, title: How to Pick Your First Traditional Indian Artwork})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/pichwai, title: Authentic Pichwai Paintings from Nathdwara, Rajasthan for Home Décor})"
"(:Blog {path: /blogs/posts/warli-art-tribal-art-of-india, title: Warli Art- Tribal Art of India})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/the-evolution-of-motifs-from-ancient-symbols-to-modern-interpretation-in-indian-art, title: The Evolution of Motifs: From Ancient Symbols to Modern Interpretation in Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/understanding-the-symbolism-of-motifs-in-madhubani-art, title: Understanding the Symbolism of Motifs in Madhubani Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/the-tales-of-lord-krishna-stories-for-kids, title: The Tales of Lord Krishna: Stories for Kids})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/madhubani-paintings-an-enduring-legacy-of-mithila, title: MADHUBANI PAINTINGS: AN ENDURING LEGACY OF MITHILA})",[:RELATED_COLLECTION {overlap: 7}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/motifs-and-math-geometric-shapes-in-warli-art, title: Motifs and Math: Geometric Shapes in Warli Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/themes-and-symbolism-in-kalamkari-art-a-cultural-and-historical-perspective, title: Themes and Symbolism in Kalamkari Art: A Cultural and Historical Perspective})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/symbolism-in-indian-tribal-art-forms, title: Symbolism In Indian Tribal Art Forms})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/get-your-diy-on-5-indian-crafts-to-cure-boredom, title: Get Your DIY On: 5 Indian Crafts to Cure Boredom})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 7}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/a-traveller-s-guide-to-ayodhya, title: A traveller’s guide to Ayodhya})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/art-of-mysore-ganjifa-traditional-card-game-of-india, title: Art of Mysore Ganjifa: Traditional Card Game of India})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/bhil-art, title: Bhil Art- Uniqueness in Simplicity.})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/the-art-of-kantha, title: The Art of Kantha})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/the-different-forms-of-floor-paintings, title: The Different Forms of Floor Paintings in South Asia})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/celebrating-shiv-parvati-a-journey-through-indian-art-traditions, title: Celebrating Shiv-Parvati: A Journey Through Indian Art Traditions})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/madhubani, title: Madhubani Art & Madhubani Paintings for Home and Office Decor})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-rajasthan, title: Artwork of Rajasthan})"
"(:Blog {path: /blogs/posts/the-city-of-barmer-all-you-need-to-know, title: The City of Barmer: All You Need To Know})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-rajasthan, title: Artwork of Rajasthan})"
"(:Blog {path: /blogs/posts/madhubani-paintings-an-enduring-legacy-of-mithila, title: MADHUBANI PAINTINGS: AN ENDURING LEGACY OF MITHILA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/artwork-of-rajasthan, title: Artwork of Rajasthan})"
